kanji,reading,level,pos,meaning_en
心強い,こころづよい,N1,adj-i,"""heartening"""
心細い,こころぼそい,N1,adj-i,"""helpless"""
快い,こころよい,N1,adj-i,"""pleasant"""
好ましい,このましい,N1,adj-i,"""nice"""
煙たい,けむたい,N1,adj-i,"""smoky"""
尊い,とうとい,N1,adj-i,"""precious"""
貴い,とうとい,N1,adj-i,"""precious"""
乏しい,とぼしい,N1,adj-i,"""meagre"""
情無い,なさけない,N1,adj-i,"""miserable"""
情深い,なさけぶかい,N1,adj-i,"""tender-hearted"""
名高い,なだかい,N1,adj-i,"""famous"""
何気ない,なにげない,N1,adj-i,"""casual"""
生臭い,なまぐさい,N1,adj-i,"""smelling of fish"""
生温い,なまぬるい,N1,adj-i,"""lukewarm"""
悩ましい,なやましい,N1,adj-i,"""seductive"""
馴々しい,なれなれしい,N1,adj-i,"""overly familiar"""
眠たい,ねむたい,N1,adj-i,"""sleepy"""
望ましい,のぞましい,N1,adj-i,"""desirable"""
著しい,いちじるしい,N1,adj-i,"""striking"""
卑しい,いやしい,N1,adj-i,"""lowborn"""
おっかない,おっかない,N1,adj-i,"""frightening"""
浅ましい,あさましい,N1,adj-i,"""wretched"""
呆気ない,あっけない,N1,adj-i,"""unsatisfying"""
荒っぽい,あらっぽい,N1,adj-i,"""wild"""
すばしこい,すばしこい,N1,adj-i,"""quick"""
素早い,すばやい,N1,adj-i,"""quick"""
切ない,せつない,N1,adj-i,"""painful"""
素っ気無い,そっけない,N1,adj-i,"""cold"""
でかい,でかい,N1,adj-i,"""huge"""
煩わしい,わずらわしい,N1,adj-i,"""troublesome"""
しぶとい,しぶとい,N1,adj-i,"""tenacious"""
紛らわしい,まぎらわしい,N1,adj-i,"""easily mixed up (e.g. similar words)"""
待ち遠しい,まちどおしい,N1,adj-i,"""longed-for"""
真ん丸い,まんまるい,N1,adj-i,"""perfectly round"""
真ん円い,まんまるい,N1,adj-i,"""perfectly round"""
見苦しい,みぐるしい,N1,adj-i,"""unsightly"""
空しい,むなしい,N1,adj-i,"""empty"""
目覚しい,めざましい,N1,adj-i,"""remarkable"""
物足りない,ものたりない,N1,adj-i,"""unsatisfied"""
脆い,もろい,N1,adj-i,"""brittle"""
安っぽい,やすっぽい,N1,adj-i,"""cheap-looking"""
ややこしい,ややこしい,N1,adj-i,"""complicated"""
欲深い,よくふかい,N1,adj-i,"""greedy"""
華々しい,はなばなしい,N1,adj-i,"""brilliant"""
久しい,ひさしい,N1,adj-i,"""long (time that has passed)"""
平たい,ひらたい,N1,adj-i,"""flat"""